product_id,brand,brand_slug,url,product_name,harvested_at,method,form,life_stage,ingredients,ingredients_tokens,allergen_groups,protein_percent,fat_percent,fiber_percent,ash_percent,moisture_percent,kcal_per_100g,pack_size,price,price_per_kg,price_bucket,form_confidence,life_stage_confidence,ingredients_confidence,price_confidence,has_jsonld,jsonld_type
briantos_026,Briantos,briantos,https://www.briantos.com/products/26,Briantos Grain-Free Lamb Adult,2025-09-10T20:38:05.107280,scrapingbee_simulation,dry,all,"chicken meal, lamb meal, barley, rice, carrots, spinach, sunflower oil, glucosamine, minerals","[""chicken meal"", ""lamb meal"", ""barley"", ""rice"", ""carrots"", ""spinach"", ""sunflower oil"", ""glucosamine"", ""minerals""]","[""chicken"", ""lamb"", ""grain""]",28.0,8.9,2.9,6.6,10.8,323.4,2kg,18.65,9.32,economy,0.95,0.95,0.98,0.9,,
briantos_027,Briantos,briantos,https://www.briantos.com/products/27,Briantos Sensitive Salmon Adult,2025-09-10T20:38:05.107296,scrapingbee_simulation,dry,puppy,"lamb meal, beef, wheat, oats, spinach, peas, salmon oil, minerals, glucosamine","[""lamb meal"", ""beef"", ""wheat"", ""oats"", ""spinach"", ""peas"", ""salmon oil"", ""minerals"", ""glucosamine""]","[""beef"", ""lamb"", ""fish"", ""grain""]",23.4,10.1,4.5,7.3,9.5,326.0,800g,22.37,27.96,premium,0.95,0.95,0.98,0.9,True,Product
briantos_028,Briantos,briantos,https://www.briantos.com/products/28,Briantos Active Chicken Puppy,2025-09-10T20:38:05.107310,scrapingbee_simulation,dry,puppy,"chicken meal, chicken, oats, barley, spinach, pumpkin, salmon oil, glucosamine, chondroitin","[""chicken meal"", ""chicken"", ""oats"", ""barley"", ""spinach"", ""pumpkin"", ""salmon oil"", ""glucosamine"", ""chondroitin""]","[""chicken"", ""fish"", ""grain""]",30.0,17.9,5.6,8.3,11.7,349.9,800g,21.2,26.5,premium,0.95,0.95,0.98,0.9,,
briantos_029,Briantos,briantos,https://www.briantos.com/products/29,Briantos High-Protein Turkey Puppy,2025-09-10T20:38:05.107325,scrapingbee_simulation,wet,adult,"turkey, chicken, rice, oats, carrots, spinach, sunflower oil, chondroitin, vitamins","[""turkey"", ""chicken"", ""rice"", ""oats"", ""carrots"", ""spinach"", ""sunflower oil"", ""chondroitin"", ""vitamins""]","[""chicken""]",23.8,16.8,2.4,8.1,10.6,360.2,400g,15.44,38.6,premium,0.95,0.95,0.98,0.9,,
briantos_030,Briantos,briantos,https://www.briantos.com/products/30,Briantos Sensitive Lamb Small Breed,2025-09-10T20:38:05.107340,scrapingbee_simulation,dry,all,"chicken, salmon, oats, corn, peas, pumpkin, salmon oil, glucosamine, minerals","[""chicken"", ""salmon"", ""oats"", ""corn"", ""peas"", ""pumpkin"", ""salmon oil"", ""glucosamine"", ""minerals""]","[""chicken"", ""fish"", ""grain""]",22.6,11.6,3.5,6.4,10.2,337.7,2kg,18.48,9.24,economy,0.95,0.95,0.98,0.9,True,Product
briantos_031,Briantos,briantos,https://www.briantos.com/products/31,Briantos Sensitive Lamb Small Breed,2025-09-10T20:38:05.107355,scrapingbee_simulation,dry,adult,"lamb meal, chicken, oats, rice, carrots, spinach, flaxseed oil, minerals, vitamins","[""lamb meal"", ""chicken"", ""oats"", ""rice"", ""carrots"", ""spinach"", ""flaxseed oil"", ""minerals"", ""vitamins""]","[""chicken"", ""lamb""]",29.5,9.1,2.9,6.5,10.2,326.9,12kg,26.45,2.2,budget,0.95,0.95,0.98,0.9,,
briantos_032,Briantos,briantos,https://www.briantos.com/products/32,Briantos Natural Salmon Large Breed,2025-09-10T20:38:05.107369,scrapingbee_simulation,dry,puppy,"lamb meal, chicken meal, rice, barley, sweet potato, pumpkin, flaxseed oil, vitamins, glucosamine","[""lamb meal"", ""chicken meal"", ""rice"", ""barley"", ""sweet potato"", ""pumpkin"", ""flaxseed oil"", ""vitamins"", ""glucosamine""]","[""chicken"", ""lamb"", ""grain""]",,,,,,,800g,29.4,36.75,premium,0.95,0.95,0.98,0.9,True,Product
briantos_033,Briantos,briantos,https://www.briantos.com/products/33,Briantos High-Protein Salmon Adult,2025-09-10T20:38:05.107383,scrapingbee_simulation,dry,adult,"lamb meal, beef, rice, corn, sweet potato, carrots, chicken fat, probiotics, glucosamine","[""lamb meal"", ""beef"", ""rice"", ""corn"", ""sweet potato"", ""carrots"", ""chicken fat"", ""probiotics"", ""glucosamine""]","[""chicken"", ""beef"", ""lamb"", ""grain""]",19.7,13.5,5.7,6.1,8.1,347.8,2kg,23.39,11.7,mid,0.95,0.95,0.98,0.9,True,Product
briantos_034,Briantos,briantos,https://www.briantos.com/products/34,Briantos Premium Chicken Large Breed,2025-09-10T20:38:05.107397,scrapingbee_simulation,wet,adult,"chicken, lamb meal, corn, wheat, sweet potato, spinach, sunflower oil, minerals, vitamins","[""chicken"", ""lamb meal"", ""corn"", ""wheat"", ""sweet potato"", ""spinach"", ""sunflower oil"", ""minerals"", ""vitamins""]","[""chicken"", ""lamb"", ""grain""]",31.0,8.1,6.0,7.1,11.6,304.0,10kg,19.63,1.96,budget,0.95,0.95,0.98,0.9,,
briantos_035,Briantos,briantos,https://www.briantos.com/products/35,Briantos Light Beef Large Breed,2025-09-10T20:38:05.107412,scrapingbee_simulation,dry,adult,"salmon, chicken, oats, barley, peas, spinach, salmon oil, glucosamine, minerals","[""salmon"", ""chicken"", ""oats"", ""barley"", ""peas"", ""spinach"", ""salmon oil"", ""glucosamine"", ""minerals""]","[""chicken"", ""fish"", ""grain""]",22.1,15.4,5.8,8.2,11.4,338.1,15kg,,,,0.95,0.95,0.98,0.0,,
briantos_036,Briantos,briantos,https://www.briantos.com/products/36,Briantos Grain-Free Turkey Small Breed,2025-09-10T20:38:05.107425,scrapingbee_simulation,wet,adult,"lamb meal, turkey, rice, oats, carrots, pumpkin, sunflower oil, minerals, vitamins","[""lamb meal"", ""turkey"", ""rice"", ""oats"", ""carrots"", ""pumpkin"", ""sunflower oil"", ""minerals"", ""vitamins""]","[""chicken"", ""lamb""]",25.2,10.2,5.1,6.5,11.7,319.4,5kg,30.48,6.1,economy,0.95,0.95,0.98,0.9,,
briantos_037,Briantos,briantos,https://www.briantos.com/products/37,Briantos Light Lamb Adult,2025-09-10T20:38:05.107441,scrapingbee_simulation,dry,puppy,"lamb meal, turkey, corn, barley, sweet potato, spinach, chicken fat, minerals, vitamins","[""lamb meal"", ""turkey"", ""corn"", ""barley"", ""sweet potato"", ""spinach"", ""chicken fat"", ""minerals"", ""vitamins""]","[""chicken"", ""lamb"", ""grain""]",29.2,19.9,5.4,5.9,10.5,373.2,15kg,31.6,2.11,budget,0.95,0.95,0.98,0.9,True,Product
briantos_038,Briantos,briantos,https://www.briantos.com/products/38,Briantos Premium Lamb Puppy,2025-09-10T20:38:05.107456,scrapingbee_simulation,dry,adult,"turkey, chicken meal, corn, barley, spinach, sweet potato, sunflower oil, chondroitin, minerals","[""turkey"", ""chicken meal"", ""corn"", ""barley"", ""spinach"", ""sweet potato"", ""sunflower oil"", ""chondroitin"", ""minerals""]","[""chicken"", ""grain""]",18.3,19.3,2.7,8.5,9.9,372.7,12kg,19.22,1.6,budget,0.95,0.95,0.98,0.9,,
briantos_039,Briantos,briantos,https://www.briantos.com/products/39,Briantos High-Protein Chicken Senior,2025-09-10T20:38:05.107470,scrapingbee_simulation,dry,adult,"salmon, beef, barley, rice, peas, pumpkin, chicken fat, minerals, vitamins","[""salmon"", ""beef"", ""barley"", ""rice"", ""peas"", ""pumpkin"", ""chicken fat"", ""minerals"", ""vitamins""]","[""chicken"", ""beef"", ""fish"", ""grain""]",19.2,16.1,3.4,7.2,8.0,365.4,2kg,29.23,14.62,mid,0.95,0.95,0.98,0.9,,
briantos_040,Briantos,briantos,https://www.briantos.com/products/40,Briantos Light Lamb Adult,2025-09-10T20:38:05.107485,scrapingbee_simulation,dry,adult,"salmon, turkey, barley, corn, sweet potato, peas, salmon oil, glucosamine, minerals","[""salmon"", ""turkey"", ""barley"", ""corn"", ""sweet potato"", ""peas"", ""salmon oil"", ""glucosamine"", ""minerals""]","[""chicken"", ""fish"", ""grain""]",23.9,18.5,2.6,6.0,8.4,383.0,1.5kg,27.28,18.19,mid,0.95,0.95,0.98,0.9,True,Product
briantos_041,Briantos,briantos,https://www.briantos.com/products/41,Briantos Sensitive Salmon Senior,2025-09-10T20:38:05.107500,scrapingbee_simulation,wet,all,"chicken, turkey, rice, barley, sweet potato, carrots, salmon oil, vitamins, probiotics","[""chicken"", ""turkey"", ""rice"", ""barley"", ""sweet potato"", ""carrots"", ""salmon oil"", ""vitamins"", ""probiotics""]","[""chicken"", ""fish"", ""grain""]",22.7,14.3,2.7,8.8,9.9,346.6,10kg,17.02,1.7,budget,0.95,0.95,0.98,0.9,True,Product
briantos_042,Briantos,briantos,https://www.briantos.com/products/42,Briantos High-Protein Duck Adult,2025-09-10T20:38:05.107514,scrapingbee_simulation,dry,all,"turkey, chicken meal, corn, barley, peas, carrots, sunflower oil, glucosamine, vitamins","[""turkey"", ""chicken meal"", ""corn"", ""barley"", ""peas"", ""carrots"", ""sunflower oil"", ""glucosamine"", ""vitamins""]","[""chicken"", ""grain""]",25.0,16.8,5.8,7.5,8.1,359.1,12kg,15.41,1.28,budget,0.95,0.95,0.98,0.9,True,Product
briantos_043,Briantos,briantos,https://www.briantos.com/products/43,Briantos Grain-Free Chicken Senior,2025-09-10T20:38:05.107528,scrapingbee_simulation,dry,adult,"turkey, chicken meal, rice, corn, peas, carrots, chicken fat, probiotics, minerals","[""turkey"", ""chicken meal"", ""rice"", ""corn"", ""peas"", ""carrots"", ""chicken fat"", ""probiotics"", ""minerals""]","[""chicken"", ""grain""]",27.7,12.1,4.1,6.3,10.3,338.1,2kg,,,,0.95,0.95,0.98,0.0,,
briantos_044,Briantos,briantos,https://www.briantos.com/products/44,Briantos Light Duck Small Breed,2025-09-10T20:38:05.107542,scrapingbee_simulation,raw,puppy,"salmon, lamb meal, wheat, rice, peas, carrots, chicken fat, minerals, glucosamine","[""salmon"", ""lamb meal"", ""wheat"", ""rice"", ""peas"", ""carrots"", ""chicken fat"", ""minerals"", ""glucosamine""]","[""chicken"", ""lamb"", ""fish"", ""grain""]",30.2,14.8,4.0,5.3,10.0,356.5,2kg,22.15,11.07,mid,0.95,0.95,0.98,0.9,,
briantos_045,Briantos,briantos,https://www.briantos.com/products/45,Briantos Active Venison Senior,2025-09-10T20:38:05.107556,scrapingbee_simulation,dry,puppy,"turkey, lamb meal, wheat, corn, spinach, peas, chicken fat, vitamins, glucosamine","[""turkey"", ""lamb meal"", ""wheat"", ""corn"", ""spinach"", ""peas"", ""chicken fat"", ""vitamins"", ""glucosamine""]","[""chicken"", ""lamb"", ""grain""]",28.3,8.9,5.0,6.9,9.6,319.2,5kg,29.38,5.88,economy,0.95,0.95,0.98,0.9,True,Product
briantos_046,Briantos,briantos,https://www.briantos.com/products/46,Briantos High-Protein Venison Adult,2025-09-10T20:38:05.107571,scrapingbee_simulation,dry,puppy,"beef, chicken, wheat, barley, carrots, spinach, chicken fat, probiotics, vitamins","[""beef"", ""chicken"", ""wheat"", ""barley"", ""carrots"", ""spinach"", ""chicken fat"", ""probiotics"", ""vitamins""]","[""chicken"", ""beef"", ""grain""]",27.1,12.4,2.5,7.0,10.3,342.7,10kg,,,,0.95,0.95,0.98,0.0,,
