url,scraped_at,brand,brand_slug,product_name,from_cache,ingredients,form,life_stage,price,pack_size,price_per_kg,jsonld,analytical_constituents
"https://www.alpha.com/products/alpha|feeds_everyday_beef,_chicken__veg|unknown",2025-09-10T19:04:49.280121,Alpha,alpha,"Feeds Everyday Beef, Chicken  Veg",False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",dry,adult,14.147355403483617,2kg,7.073677701741809,,
https://www.alpha.com/products/alpha|spirit_orygo_fresh_chicken_with_carrot|unknown,2025-09-10T19:04:49.281050,Alpha,alpha,Spirit Orygo Fresh Chicken with Carrot,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",wet,adult,10.960911840471502,2kg,5.480455920235751,,
https://www.alpha.com/products/alpha|spirit_orygo_fresh_pork_with_broccoli|unknown,2025-09-10T19:04:49.281095,Alpha,alpha,Spirit Orygo Fresh Pork with Broccoli,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",wet,adult,10.635350935190086,2kg,5.317675467595043,,
https://www.alpha.com/products/alpha|spirit_orygo_fresh_salmon_with_blueberry|unknown,2025-09-10T19:04:49.281140,Alpha,alpha,Spirit Orygo Fresh Salmon with Blueberry,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",dry,adult,13.749363800909869,2kg,6.874681900454934,,
https://www.alpha.com/products/alpha|spirit_orygo_fresh_turkey_with_pumpkin|unknown,2025-09-10T19:04:49.281186,Alpha,alpha,Spirit Orygo Fresh Turkey with Pumpkin,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",dry,adult,18.40699283774055,2kg,9.203496418870275,,
https://www.alpha.com/products/alpha|spirit_orygo_pork_pate_with_broccoli|unknown,2025-09-10T19:04:49.281234,Alpha,alpha,Spirit Orygo Pork Pate with Broccoli,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",wet,adult,13.48146182216432,2kg,6.74073091108216,"{'@type': 'Product', 'name': 'Spirit Orygo Pork Pate with Broccoli', 'brand': {'@type': 'Brand', 'name': 'Alpha'}, 'offers': {'@type': 'Offer', 'price': 13.48146182216432, 'priceCurrency': 'EUR'}}",
https://www.alpha.com/products/alpha|spirit_orygo_puppy_salmon__sweet_potato|unknown,2025-09-10T19:04:49.281276,Alpha,alpha,Spirit Orygo Puppy Salmon  Sweet Potato,False,"chicken, chicken meal, dha, calcium, rice, barley, peas, sweet potato",dry,,15.975565188701523,2kg,7.987782594350762,,
https://www.alpha.com/products/alpha|spirit_orygo_salmon_pate_with_blueberry|unknown,2025-09-10T19:04:49.281320,Alpha,alpha,Spirit Orygo Salmon Pate with Blueberry,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",wet,adult,8.35270576676712,2kg,4.17635288338356,,
https://www.alpha.com/products/alpha|spirit_orygo_senior_chicken_with_legumes|unknown,2025-09-10T19:04:49.281356,Alpha,alpha,Spirit Orygo Senior Chicken with Legumes,False,"chicken, chicken meal, glucosamine, chondroitin, rice, barley, peas, sweet potato",dry,,15.346226675139057,2kg,7.673113337569529,,
https://www.alpha.com/products/alpha|spirit_orygo_turkey_pate_with_pumpkin|unknown,2025-09-10T19:04:49.281401,Alpha,alpha,Spirit Orygo Turkey Pate with Pumpkin,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",wet,adult,10.43707195900129,2kg,5.218535979500645,"{'@type': 'Product', 'name': 'Spirit Orygo Turkey Pate with Pumpkin', 'brand': {'@type': 'Brand', 'name': 'Alpha'}, 'offers': {'@type': 'Offer', 'price': 10.43707195900129, 'priceCurrency': 'EUR'}}",
https://www.alpha.com/products/alpha|spirit_pork_with_caraway_canned_meatballs|raw,2025-09-10T19:04:49.281442,Alpha,alpha,Spirit Pork with Caraway Canned Meatballs,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",,adult,11.930959742497414,2kg,5.965479871248707,,
https://www.alpha.com/products/alpha|spirit_pork_with_yellow_apple|unknown,2025-09-10T19:04:49.281475,Alpha,alpha,Spirit Pork with Yellow Apple,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",wet,adult,18.733895908740873,2kg,9.366947954370437,"{'@type': 'Product', 'name': 'Spirit Pork with Yellow Apple', 'brand': {'@type': 'Brand', 'name': 'Alpha'}, 'offers': {'@type': 'Offer', 'price': 18.733895908740873, 'priceCurrency': 'EUR'}}",
https://www.alpha.com/products/alpha|spirit_poultry-the_only_one|unknown,2025-09-10T19:04:49.281525,Alpha,alpha,Spirit Poultry-The Only One,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",dry,adult,10.441340801615842,2kg,5.220670400807921,,
https://www.alpha.com/products/alpha|spirit_primal_spirit_iberian_ancestral_grassland_complete_wet_sausage|wet,2025-09-10T19:04:49.281572,Alpha,alpha,Spirit Primal Spirit Iberian Ancestral Grassland Complete Wet Sausage,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",,adult,9.943065445106638,2kg,4.971532722553319,,
https://www.alpha.com/products/alpha|spirit_primal_spirit_iberian_mediterranean_farm_complete_wet_sausage|wet,2025-09-10T19:04:49.281607,Alpha,alpha,Spirit Primal Spirit Iberian Mediterranean Farm Complete Wet Sausage,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",,adult,8.076597783840732,2kg,4.038298891920366,,
https://www.alpha.com/products/alpha|spirit_primal_spirit_iberian_nordic_sealand_complete_wet_sausage|wet,2025-09-10T19:04:49.281642,Alpha,alpha,Spirit Primal Spirit Iberian Nordic Sealand Complete Wet Sausage,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",,adult,14.148216842890374,2kg,7.074108421445187,"{'@type': 'Product', 'name': 'Spirit Primal Spirit Iberian Nordic Sealand Complete Wet Sausage', 'brand': {'@type': 'Brand', 'name': 'Alpha'}, 'offers': {'@type': 'Offer', 'price': 14.148216842890374, 'priceCurrency': 'EUR'}}",
https://www.alpha.com/products/alpha|spirit_primal_spirit_iberian_pork|unknown,2025-09-10T19:04:49.281683,Alpha,alpha,Spirit Primal Spirit Iberian Pork,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",dry,adult,14.048173008615274,2kg,7.024086504307637,,
https://www.alpha.com/products/alpha|spirit_primal_spirit_iberian_salmon|unknown,2025-09-10T19:04:49.281733,Alpha,alpha,Spirit Primal Spirit Iberian Salmon,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",dry,adult,16.403125778015863,2kg,8.201562889007931,,
https://www.alpha.com/products/alpha|spirit_primal_spirit_iberian_sardine|unknown,2025-09-10T19:04:49.281781,Alpha,alpha,Spirit Primal Spirit Iberian Sardine,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",dry,adult,8.918359692311325,2kg,4.459179846155663,,
https://www.alpha.com/products/alpha|spirit_primal_spirit_iberian_wild_forest_complete_wet_sausage|wet,2025-09-10T19:04:49.281828,Alpha,alpha,Spirit Primal Spirit Iberian Wild Forest Complete Wet Sausage,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",,adult,15.255758441391004,2kg,7.627879220695502,,
https://www.alpha.com/products/alpha|spirit_primal_spirit_oceanland_fish__chicken|unknown,2025-09-10T19:04:49.281865,Alpha,alpha,Spirit Primal Spirit Oceanland Fish  Chicken,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",dry,adult,17.71990715950364,2kg,8.85995357975182,,
https://www.alpha.com/products/alpha|spirit_primal_spirit_rebel_farm_chicken__fish|unknown,2025-09-10T19:04:49.281914,Alpha,alpha,Spirit Primal Spirit Rebel Farm Chicken  Fish,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",dry,adult,13.512923115210816,2kg,6.756461557605408,"{'@type': 'Product', 'name': 'Spirit Primal Spirit Rebel Farm Chicken  Fish', 'brand': {'@type': 'Brand', 'name': 'Alpha'}, 'offers': {'@type': 'Offer', 'price': 13.512923115210816, 'priceCurrency': 'EUR'}}",
https://www.alpha.com/products/alpha|spirit_primal_spirit_wanderlust_chicken__fish|unknown,2025-09-10T19:04:49.281967,Alpha,alpha,Spirit Primal Spirit Wanderlust Chicken  Fish,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",dry,adult,13.088916011509811,2kg,6.5444580057549055,,
https://www.alpha.com/products/alpha|spirit_primal_spirit_wild_waters_fish__chicken|unknown,2025-09-10T19:04:49.282013,Alpha,alpha,Spirit Primal Spirit Wild Waters Fish  Chicken,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",dry,adult,18.98889650421036,2kg,9.49444825210518,,
"https://www.alpha.com/products/alpha|spirit_primal_spirit_wilderness_pork,_chicken__fish|unknown",2025-09-10T19:04:49.282059,Alpha,alpha,"Spirit Primal Spirit Wilderness Pork, Chicken  Fish",False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",dry,adult,12.913214900272923,2kg,6.456607450136461,,
https://www.alpha.com/products/alpha|spirit_puppy-the_only_one|unknown,2025-09-10T19:04:49.282108,Alpha,alpha,Spirit Puppy-The Only One,False,"chicken, chicken meal, dha, calcium, rice, barley, peas, sweet potato",dry,,13.733648881535393,2kg,6.866824440767696,,
https://www.alpha.com/products/alpha|spirit_rabbit_with_banana|unknown,2025-09-10T19:04:49.282153,Alpha,alpha,Spirit Rabbit with Banana,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",dry,adult,8.16165061299763,2kg,4.080825306498815,"{'@type': 'Product', 'name': 'Spirit Rabbit with Banana', 'brand': {'@type': 'Brand', 'name': 'Alpha'}, 'offers': {'@type': 'Offer', 'price': 8.16165061299763, 'priceCurrency': 'EUR'}}",
https://www.alpha.com/products/alpha|spirit_salmon_with_pineapple|unknown,2025-09-10T19:04:49.282202,Alpha,alpha,Spirit Salmon with Pineapple,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",dry,adult,15.64035478877253,2kg,7.820177394386265,,
https://www.alpha.com/products/alpha|spirit_sardine_with_banana|unknown,2025-09-10T19:04:49.282248,Alpha,alpha,Spirit Sardine with Banana,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",dry,adult,8.430854310335363,2kg,4.215427155167681,"{'@type': 'Product', 'name': 'Spirit Sardine with Banana', 'brand': {'@type': 'Brand', 'name': 'Alpha'}, 'offers': {'@type': 'Offer', 'price': 8.430854310335363, 'priceCurrency': 'EUR'}}",
https://www.alpha.com/products/alpha|spirit_turkey_with_coriander_canned_meatballs|unknown,2025-09-10T19:04:49.282297,Alpha,alpha,Spirit Turkey with Coriander Canned Meatballs,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",wet,adult,15.044075940103742,2kg,7.522037970051871,"{'@type': 'Product', 'name': 'Spirit Turkey with Coriander Canned Meatballs', 'brand': {'@type': 'Brand', 'name': 'Alpha'}, 'offers': {'@type': 'Offer', 'price': 15.044075940103742, 'priceCurrency': 'EUR'}}",
https://www.alpha.com/products/alpha|spirit_turkey_with_pear|unknown,2025-09-10T19:04:49.282340,Alpha,alpha,Spirit Turkey with Pear,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",wet,adult,16.076039912063713,2kg,8.038019956031857,,
https://www.alpha.com/products/alpha|spirit_wild_boar_with_thyme_canned_meatballs|unknown,2025-09-10T19:04:49.282386,Alpha,alpha,Spirit Wild Boar with Thyme Canned Meatballs,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",wet,adult,15.7158603857917,2kg,7.85793019289585,"{'@type': 'Product', 'name': 'Spirit Wild Boar with Thyme Canned Meatballs', 'brand': {'@type': 'Brand', 'name': 'Alpha'}, 'offers': {'@type': 'Offer', 'price': 15.7158603857917, 'priceCurrency': 'EUR'}}",
https://www.alpha.com/products/alpha|spirit_wild_fish-the_only_one|unknown,2025-09-10T19:04:49.282426,Alpha,alpha,Spirit Wild Fish-The Only One,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",dry,adult,13.844638556899742,2kg,6.922319278449871,,
