product_key,brand,brand_source,product_name,original_name,ingredients_raw,energy_kcal,price_per_day,product_url,type_of_food,dog_ages,form,source,import_timestamp
natures_deli_puppyjunior|dry,Unknown,default,Natures Deli Puppy/Junior,Natures Deli Puppy/Junior Review,"Turkey 32.5% (Turkey Meal 24.9%, Turkey 5.7%, Turkey Gravy 1.9%), Brown Rice (22.3%), Turkey Fat, Pea Protein, Dried Beet Pulp, Dried Peas (3.8%), Dried Chick Peas (2.9%), Dried Sweet Potato (2.9%), Brewers Yeast, Dried Pumpkin (1.9%), Minerals, Linseed Oil, Vegetable Stock, Dried Carrot (0.5%), Yeast (0.14%), Chicory Root Extract (0.14%), Dried Rosemary, Yucca Schidigera (0.024%), Glucosamine (0.012%), Dried Cranberry, Dried Dandelion Root, Dried Pomegranate, Chondroitin Sulphate (0.005%).",,1.37,https://www.allaboutdogfood.co.uk/dog-food-reviews/2692/natures-deli-puppy-junior,Complete Dry extruded,From 2 months to 2 years,dry,allaboutdogfood,2025-09-15T13:49:40.681670
guru|guru_top_of_the_crops_cold_pressed|dry,Guru,product_name,Guru Top Of The Crops Cold Pressed,Guru Top Of The Crops Cold Pressed Review,"Brown Whole Grain Rice 35% (Thermally Pre-Treated), Rice Protein (16%), Sweet Potato (8%), Potato, Potato Protein, Cold Pressed Oils (Rapeseed, Linseed), Chicory, Egg, Broad Beans, Seaweed, Cheese, Apple, Pumpkin Seed, Carrot, Calcium Carbonate, Parsnip, Kale, Blackcurrant, Strawberry, Cranberry, MOS, FOS, Yucca Schidigera, Green Tea Extract, Parsley, Rosemary.",,0.78,https://www.allaboutdogfood.co.uk/dog-food-reviews/3030/guru-top-of-the-crops-cold-pressed,Complete Dry cold pressed,From weaning to old age,dry,allaboutdogfood,2025-09-15T13:49:40.681711
seven|seven_grain_free_puppy_large_breed|dry,Seven,product_name,Seven Grain Free Puppy Large Breed,Seven Grain Free Puppy Large Breed Review,"Salmon 60% (Freshly Prepared Salmon 38%, Dried Salmon 20%, Salmon Stock 2%), Sweet Potato (19%), Potato, Beet Pulp, Linseed, Minerals, Vitamins, Carrot, Peas (0.2%), Omega 3 Supplement, Vegetable Stock, Glucosamine (355 mg/kg), Methylsulfonylmethane (355 mg/kg), Chondroitin Sulphate (250 mg/kg), Nucleotides, FOS (96 mg/kg), MOS (24 mg/kg)",376.0,1.14,https://www.allaboutdogfood.co.uk/dog-food-reviews/1887/seven-grain-free-puppy-large-breed,Complete Dry extruded,From weaning to 12 months,dry,allaboutdogfood,2025-09-15T13:49:40.681748
southend_dog_cold_pressed|dry,Unknown,default,Southend Dog Cold Pressed,Southend Dog Cold Pressed Review,"Dried Ground Chicken 27%, Sweet Potato, Potato, Chicken Fat, Hydrolysed Chicken, Dried Apples, Dried Kale, Chicory Fibre, Seaweed, Spirulina, Green Mussel Powder 1%, Mannan-Oligosaccharides, Glucosamine, Chondroitin Sulphate.",,1.39,https://www.allaboutdogfood.co.uk/dog-food-reviews/3694/southend-dog-cold-pressed,Complete Dry cold pressed,From 12 months to old age,dry,allaboutdogfood,2025-09-15T13:49:40.681787
lukullus|lukullus_veggie|dry,Lukullus,product_name,Lukullus Veggie,Lukullus Veggie Review,"49% Vegetable Mix (Dried Ground Peas, Dried Ground Carrots, Beetroot, Parsnip, Leek, Celery, Chicory), 21% Dried Ground Sweet Lupin, Dried Ground Hemp, Rice Germ, Dried Ground Potato 5%, Linseed, 5% Oil Mix (Rapeseed, Nut, Wheat Germ), 5% Fruit Mix (Apples, Pears, Blackcurrants, Aronia Berries, Rose Hips, Blueberries), Beet Pulp, Algae Mix (Ascophyllum Nodosum, Schizochytrium), 2% Milk Thistle Seeds, 1% Dried Herbs, Mineral Clay, Silica (Diatomaceous Earth), Dried Ground Yucca Schidigera.",348.0,1.11,https://www.allaboutdogfood.co.uk/dog-food-reviews/2375/lukullus-veggie,Complete Dry cold pressed,From 12 months to old age,dry,allaboutdogfood,2025-09-15T13:49:40.681822
hillsscienceplan|hills_science_plan_adult_16_medium|dry,Hill's Science Plan,product_name,Hill's Science Plan Adult 1-6 Medium,Hill's Science Plan Adult 1-6 Medium Review,"Maize, Wheat, Chicken and Turkey Meal, Animal Fat, Digest, Maize Gluten Meal, Vegetable Oil, Minerals, Dried Beet Pulp, Flaxseed.",372.0,0.93,https://www.allaboutdogfood.co.uk/dog-food-reviews/0129/hills-science-plan-adult-1-6-medium,Complete Dry extruded,From 12 months to 6 years,dry,allaboutdogfood,2025-09-15T13:49:40.681859
hillsscienceplan|hills_science_plan_mature_adult_7_youthful_vitalit|dry,Hill's Science Plan,product_name,Hill's Science Plan Mature Adult 7+ Youthful Vitality Small & Mini,Hill's Science Plan Mature Adult 7+ Youthful Vitality Small & Mini Review,"Maize, Brewers' Rice (24%), Chicken (8%) and Turkey Meal (Total Poultry 13%), Barley, Oats, Dried Whole Egg, Digest, Vegetable Oil, Animal Fat, Dried Beet Pulp, Flaxseed, Minerals, Dried Carrots, Dried Tomato Pomace, Dried Citrus Pulp, Fish Oil, Dried Spinach.",362.0,1.29,https://www.allaboutdogfood.co.uk/dog-food-reviews/0431/hills-science-plan-mature-adult-7-youthful-vitality-small-and-mini,Complete Dry extruded,From 7 years to old age,dry,allaboutdogfood,2025-09-15T13:49:40.681895
royalcanin|royal_canin_maxi_starter|dry,Royal Canin,product_name,Royal Canin Maxi Starter,Royal Canin Maxi Starter Review,"Rice, Dehydrated Poultry Meat, Animal Fats, Vegetable Protein Isolate, Hydrolysed Animal Proteins, Maize, Beet Pulp, Minerals, Soya Oil, Rice, Dehydrated Poultry Protein, Animal Fats, Vegetable Protein Isolate, Hydrolysed Animal Proteins, Maize, Beet Pulp, Minerals, Soya Oil, Vegetable Fibers, Fish Oil, Fructooligosaccharides, Psyllium Husks and Seeds, Hydrolysed Yeast, Fatty Acid Salt, Yeasts Extracts, Marigold Extract, Antioxidants.",418.3,1.36,https://www.allaboutdogfood.co.uk/dog-food-reviews/0075/royal-canin-maxi-starter,Complete Dry extruded,From weaning to 2 months,dry,allaboutdogfood,2025-09-15T13:49:40.681928
jameswellbeloved|james_wellbeloved_senior_wet_food|wet,James Wellbeloved,product_name,James Wellbeloved Senior Wet Food,James Wellbeloved Senior Wet Food Review,"Lamb (29.2%), Rice (5.5%), Dried Carrots (Including 1% Dried Carrots, Equivalent To 8.1% Carrots), Dried Peas (Including 1% Dried Peas, Equivalent To 3.8% Peas), Minerals, Dextrose, Dried Beet Pulp, Sunflower Oil, Linseed Oil, Alfalfa, Seaweed (0.11%), Fish Oil, Tomato Powder, Glucosamine By Fermentation (0.02%).",,6.03,https://www.allaboutdogfood.co.uk/dog-food-reviews/3288/james-wellbeloved-senior-wet-food,Complete Wet chunks in gravy/jelly,From 7 years to old age,wet,allaboutdogfood,2025-09-15T13:49:40.681962
eukanuba|eukanuba_thriving_mature_medium_breed|dry,Eukanuba,product_name,Eukanuba Thriving Mature Medium Breed,Eukanuba Thriving Mature Medium Breed Review,"Dried Chicken & Turkey 19% (Including Chicken 11%), Fresh Chicken (17%), Maize, Wheat, Oats, Barley, Sorghum, Dried Beet Pulp (3.0%), Poultry Fat, Fish Meal, Chicken Gravy, Minerals (Including Sodium Hexametaphosphate 0.34%), Dried Whole Egg, Fructooligosaccharides (0.25%), Glucosamine (0.04%).",,0.67,https://www.allaboutdogfood.co.uk/dog-food-reviews/1627/eukanuba-thriving-mature-medium-breed,Complete Dry extruded,From 7 years to 10 years,dry,allaboutdogfood,2025-09-15T13:49:40.681994
wainwrights|wainwrights_dry_adult_grain_free_small_breed|dry,Wainwright's,product_name,Wainwright's Dry Adult Grain Free Small Breed,Wainwright's Dry Adult Grain Free Small Breed Review,"Lamb Meat Meal (40%), Sweet Potato (25%), Potato (9.6%), Rapeseed Oil (5.1%), Pea Starch (4%), Potato Protein (3.5%), Linseed (3%), Beet Pulp (2%), Lamb Digest (2%), Yeasts (1%), Alfalfa (1%), Carrot (1%), Minerals, Tomato Powder (0.5%), Seaweed Meal (0.5%), Herbs (Marjoram 167 mg/kg, Oregano 167mg/kg, Sage 167 mg/kg, Parsley 167 mg/kg, Rosemary 167 mg/kg), Yucca (200 mg/kg), Cranberry (100 mg/kg), Marigold (50 mg/kg).",,1.12,https://www.allaboutdogfood.co.uk/dog-food-reviews/1034/wainwrights-dry-adult-grain-free-small-breed,Complete Dry extruded,From 12 months to 7 years,dry,allaboutdogfood,2025-09-15T13:49:40.682028
nourish|nourish_grain_free_puppy_large_breed|dry,Nourish,product_name,Nourish Grain Free Puppy Large Breed,Nourish Grain Free Puppy Large Breed Review,"Salmon 60% (Freshly Prepared Salmon 38%, Dried Salmon 20%, Salmon Stock 2%), Sweet Potato (19%), Potato, Beet Pulp, Linseed, Minerals, Vitamins, Carrot, Peas (0.2%), Omega 3 Supplement, Vegetable Stock, Glucosamine (355 mg/kg), Methylsulfonylmethane (355 mg/kg), Chondroitin Sulphate (250 mg/kg), Nucleotides, FOS (96 mg/kg), MOS (24 mg/kg)",376.0,0.77,https://www.allaboutdogfood.co.uk/dog-food-reviews/2544/nourish-grain-free-puppy-large-breed,Complete Dry extruded,From weaning to 12 months,dry,allaboutdogfood,2025-09-15T13:49:40.682065
lunaandme|luna_me_superblends_seniors_club|raw,Luna and Me,manufacturer,Luna & Me Superblends Senior's Club,Luna & Me Superblends Senior's Club Review,"75% Total Meat (British Chicken and Bone, British Beef Green Tripe, British Beef Heart, British Beef Kidney, British Beef Liver), Fresh Butternut Squash, Fresh Carrot, Fresh Apple, Fresh Spinach, Fresh Kale, Wild Salmon Oil, Organic Raw Sea Kelp Powder, Organic Coconut Oil, Organic Spirulina Powder, Organic Brewers Yeast Powder, Organic Chicory Root Powder, Organic Bilberry Powder, Organic Turmeric, Organic Green-Lipped Mussel Powder.",,2.19,https://www.allaboutdogfood.co.uk/dog-food-reviews/1804/luna-and-me-superblends-seniors-club,Complete Raw,From 7 years to old age,raw,allaboutdogfood,2025-09-15T13:49:40.682095
royalcanin|royal_canin_german_shepherd_adult|dry,Royal Canin,product_name,Royal Canin German Shepherd Adult,Royal Canin German Shepherd Adult Review,"Rice, Dehydrated Poultry Protein, Animal Fats, Vegetable Protein Isolate, Maize Flour, Hydrolysed Animal Proteins, Vegetable Fibres, Minerals, Beet Pulp, Soya Oil, Fish Oil, Copra Oil, Hydrolysed Yeast, Hydrolysed Crustaceans, Marigold Extract, Hydrolysed Cartilage.",,1.53,https://www.allaboutdogfood.co.uk/dog-food-reviews/2844/royal-canin-german-shepherd-adult,Complete Dry extruded,From 15 months to old age,dry,allaboutdogfood,2025-09-15T13:49:40.682130
lilyskitchen|lilys_kitchen_the_ultimate_dinner|wet,Lily's Kitchen,product_name,Lily's Kitchen the Ultimate Dinner,Lily's Kitchen the Ultimate Dinner Review,"Chicken (32%), Chicken Breast (10%), Whole Peeled Shrimp (8%), Salmon Fillet (5%), Diced Pumpkin (2%), Minerals, Yoghurt (1%), Cubed Courgette (1%), Shredded Savoy Cabbage (1%), Dill (0.4%), Mint (0.4%), Algae.",77.0,21.48,https://www.allaboutdogfood.co.uk/dog-food-reviews/3861/lilys-kitchen-the-ultimate-dinner,Complete Wet paté/loaf,From 6 months to old age,wet,allaboutdogfood,2025-09-15T13:49:40.682165
lovejoys_hearty_wholesome_wet|wet,Unknown,default,Lovejoys Hearty & Wholesome Wet,Lovejoys Hearty & Wholesome Wet Review,"Chicken (65%), Rice (8%), Mixed Herbs (Turmeric, Cumin, Garlic), Prebiotic Mannan-Oligosaccharides (111mg/kg), Seaweed (55.6mg/kg), Glucosamine (38.9mg/kg), Chondroitin (22.2mg/kg), Yucca Extract (22.2mg/kg), Cranberry Extract (22.2mg/kg), Yeast Extract (11.1mg/kg).",,2.79,https://www.allaboutdogfood.co.uk/dog-food-reviews/1825/lovejoys-hearty-and-wholesome-wet,Complete Wet paté/loaf,From 12 months to 7 years,wet,allaboutdogfood,2025-09-15T13:49:40.682204
laughing_dog_grain_free_adult_complete_wet|wet,Unknown,default,Laughing Dog Grain Free Adult Complete Wet,Laughing Dog Grain Free Adult Complete Wet Review,"Chicken (60%), White Potato, Peas (1.3% Dried Peas), Mixed Herbs 0.5% (Parsley, Mint, Oregano), Carrots (0.5% Dried Carrots), Minerals, Sunflower Oil, Seaweed, Glucosamine, Chondroitin, Yucca Extract, Cranberry Extract (0.02%), Yeast Extract.",123.0,2.02,https://www.allaboutdogfood.co.uk/dog-food-reviews/2017/laughing-dog-grain-free-adult-complete-wet,Complete Wet paté/loaf,From 6 months to old age,wet,allaboutdogfood,2025-09-15T13:49:40.682243
hilife_feed_me|unknown,Unknown,default,HiLife FEED ME,HiLife FEED ME Review,"Beef Meal (24%), Wholegrain Wheat, Wheat Bran, Sugar, Vegetable Glycerine, Chicken (4%), Poultry Fat, Meat Stock, Dried Garden Vegetables (1.1%), Salt, Minerals, Cheese Powder (0.1%), Chicory Extract (0.05%), Yeast Extract (0.05%).",,0.64,https://www.allaboutdogfood.co.uk/dog-food-reviews/3047/hilife-feed-me,Complete Semi-moist,From 12 months to 7 years,unknown,allaboutdogfood,2025-09-15T13:49:40.682281
moleonline|country_dog_premium_adult_1|dry,Mole Online,manufacturer,Country Dog Premium Adult 1+,Country Dog Premium Adult 1+ Review,"Chicken 39% (Chicken Meal 29%, Freshly Prepared Chicken 10%), Rice (26%), Barley, Chicken Fat (8%), Beet Pulp (8%), Potato Starch, Dried Brewers Yeast (2.5%), Flaxseed (2.5%), Chicken Gravy, Minerals, Seaweed, Prebiotic Mannan-Oligosaccharide (0.05%), Yucca Extract (0.05%), Glucosamine (0.043%), Chondroitin (0.015%), Cranberry (0.01%).",,0.73,https://www.allaboutdogfood.co.uk/dog-food-reviews/2488/country-dog-premium-adult-1,Complete Dry extruded,From 12 months to old age,dry,allaboutdogfood,2025-09-15T13:49:40.682310
orijen|orijen_puppy|dry,Orijen,product_name,Orijen Puppy,Orijen Puppy Review,"Fresh Chicken (23%), Raw Turkey (10%), Fresh Chicken Giblets 8% (Liver, Heart), Raw Whole Herring (6%), Raw Whole Hake (5%), Fresh Eggs (5%), Dehydrated Chicken (4%), Dehydrated Turkey (4%), Dehydrated Mackerel (4%), Dehydrated Sardine (4%), Dehydrated Herring (4%), Chicken Fat (4%), Whole Red Lentils, Whole Peas, Whole Green Lentils, Whole Chickpeas, Lentil Fibre, Whole Pinto Beans, Whole Navy Beans, Raw Turkey Liver (2%), Pollock Oil (2%), Pea Starch, Dried Kelp, Fresh Whole Pumpkin, Fresh Whole Butternut Squash, Fresh Whole Zucchini, Fresh Whole Carrots, Fresh Whole Apples, Fresh Whole Pears, Dried Chicory Root, Fresh Kale, Fresh Spinach, Fresh Beet Greens, Fresh Turnip Greens, Whole Cranberries, Whole Blueberries, Whole Saskatoon Berries, Turmeric, Milk Thistle, Burdock Root, Lavender, Marshmallow Root, Rosehips.",,1.9,https://www.allaboutdogfood.co.uk/dog-food-reviews/0083/orijen-puppy,Complete Dry extruded,From weaning to 12 months,dry,allaboutdogfood,2025-09-15T13:49:40.682346
salters_senior|dry,Unknown,default,Salters Senior,Salters Senior Review,"Ground Maize, Round Grain Rice, Chicken Meat Meal, Sprayed Dried Chicken Meal, Maize Gluten Meal, Dried Sugar Beet Pulp, Sunflower Meal, Chicken Fat, Cellulose Fibre, Full Fat Linseed, Extra Virgin Olive Oil, Yeast (Autolyzed), Dried Whole Egg, Natural Seaweed, Vitamins and Minerals.",,0.92,https://www.allaboutdogfood.co.uk/dog-food-reviews/0201/salters-senior,Complete Dry extruded,From 7 years to old age,dry,allaboutdogfood,2025-09-15T13:49:40.682382
moleonline|country_dog_original_adult_1|dry,Mole Online,manufacturer,Country Dog Original Adult 1+,Country Dog Original Adult 1+ Review,"Wheat, Meat and Bone Meal 20% (Including 11% Chicken), Barley, Chicken Fat, Chicken Gravy, Minerals, Fish Oil (0.3%), Prebiotic Mannan Oligosaccharides (0.08%), Yucca Extract (0.01%).",,0.22,https://www.allaboutdogfood.co.uk/dog-food-reviews/2423/country-dog-original-adult-1,Complete Dry extruded,From 12 months to old age,dry,allaboutdogfood,2025-09-15T13:49:40.682411
jollyes|nutriment_core_range_adult|raw,Jollyes,manufacturer,Nutriment Core Range Adult,Nutriment Core Range Adult Review,"65% Turkey with Bone, 15% Vegetables (Carrot, Butternut Squash, Broccoli, Kale), 10% Beef Green Tripe, 5% Beef Heart, 3% Beef Liver, 2% Beef Kidney, Sesame Seeds, Chia Seeds, Sunflower Seeds, Salmon Oil, Wheatgerm Oil, Chicory Powder, Blueberry Powder, Spirulina.",,2.0,https://www.allaboutdogfood.co.uk/dog-food-reviews/0829/nutriment-core-range-adult,Complete Raw,From 4 months to old age,raw,allaboutdogfood,2025-09-15T13:49:40.682439
royalcanin|royal_canin_miniature_schnauzer_adult|dry,Royal Canin,product_name,Royal Canin Miniature Schnauzer Adult,Royal Canin Miniature Schnauzer Adult Review,"Rice, Dehydrated Poultry Protein, Maize, Vegetable Protein Isolate, Maize Gluten, Animal Fats, Hydrolysed Animal Proteins, Minerals, Chicory Pulp, Fish Oil, Vegetable Fibres, Fructo-Oligo-Saccharides, Psyllium Husks and Seeds, Soya Oil, Borage Oil, Hydrolysed Crustaceans, Marigold Extract, Hydrolysed Cartilage, Antioxidants.",362.3,0.99,https://www.allaboutdogfood.co.uk/dog-food-reviews/0595/royal-canin-miniature-schnauzer-adult,Complete Dry extruded,From 10 months to old age,dry,allaboutdogfood,2025-09-15T13:49:40.682477
edmondsons|edmondsons_puppy_large_breed|dry,Edmondson's,product_name,Edmondson's Puppy Large Breed,Edmondson's Puppy Large Breed Review,"Salmon 60% (Freshly Prepared Salmon 38%, Dried Salmon 20%, Salmon Stock 2%), Sweet Potato (19%), Potato, Beet Pulp, Linseed, Minerals, Vitamins, Carrot, Peas (0.2%), Omega 3 Supplement, Vegetable Stock, Glucosamine (355 mg/kg), Methylsulfonylmethane (355 mg/kg), Chondroitin Sulphate (250 mg/kg), Nucleotides, FOS (96 mg/kg), MOS (24 mg/kg)",376.0,1.19,https://www.allaboutdogfood.co.uk/dog-food-reviews/2363/edmondsons-puppy-large-breed,Complete Dry extruded,From weaning to 12 months,dry,allaboutdogfood,2025-09-15T13:49:40.682513
virbac_veterinary_hpm_baby_large_medium|dry,Unknown,default,Virbac Veterinary HPM Baby Large & Medium,Virbac Veterinary HPM Baby Large & Medium Review,"Dehydrated Pork and Poultry Protein, Rice (min 7%), Animal Fat, Whole Pea, Potato Starch (min. 4%), Hydrolysed Animal Protein, Lignocellulose, Beet Pulp, Field Bean Hulls, Mineral Salts, Linseed, Fish Oil, Fructo-Oligosaccharides, Psyllium Fibre, Yeast Beta Glucan, Pasteurised Lactobacillus Acidophilus.",383.0,1.38,https://www.allaboutdogfood.co.uk/dog-food-reviews/2139/virbac-veterinary-hpm-baby-large-and-medium,Complete Dry extruded,From weaning to 7 months,dry,allaboutdogfood,2025-09-15T13:49:40.682552
essential|essential_nautical_living_pate|wet,Essential,manufacturer,Essential Nautical Living Pate,Essential Nautical Living Pate Review,"Salmon (35%), Cod (30%), Sweet Potato (2%), Pea Flour (2%), Salmon Oil (1%), Cranberry (1%), Blueberry (1%), Goji Berry (1%), Blackberry (1%), Lignocellulose, Calcium Carbonate, Kelp (0.2%), Green Tea (0.2%), Marigold (0.2%), Ginger (0.2%), Spirulina (0.2%).",112.5,5.6,https://www.allaboutdogfood.co.uk/dog-food-reviews/3402/essential-nautical-living-pate,Complete Wet paté/loaf,From 12 months to old age,wet,allaboutdogfood,2025-09-15T13:49:40.682581
eukanuba|eukanuba_working_endurance|dry,Eukanuba,product_name,Eukanuba Working & Endurance,Eukanuba Working & Endurance Review,"Dried Chicken and Turkey (37%), Maize, Animal Fat (from Chicken and Pork), Wheat, Rice, Sorghum, Dried Beet Pulp (3.9%), Dried Whole Egg, Hydrolysed Animal Proteins (from Chicken), Fish Oil, Brewer's Dried Yeast, Potassium Chloride, Fructooligosaccharides (0.54%), Sodium Chloride, Linseed, Sodium Hexametaphosphate, Calcium Carbonate.",392.0,0.68,https://www.allaboutdogfood.co.uk/dog-food-reviews/0415/eukanuba-working-and-endurance,Complete Dry extruded,From 12 months to old age,dry,allaboutdogfood,2025-09-15T13:49:40.682613
